Year,Month,Material Description,Quantity
2018,5,540/0 DISTANCE PLATE 1,1000
2018,5,542/0 CLOSE LATCH SUB ASSEMBLY,544
2018,5,543/0 TRIGGER WHEEL,930
2018,5,553/0 PLATE PRESSURE CLUTCH,6000
2018,5,558/0 LOCK WASHER BRG NUT,31680
2018,5,560/0 VALVE PLATE CR06,18150
2018,5,565/0 FACE  DRIVE,74760
2018,5,569/0  VALVE  PLATE,128150
2018,5,"572/0 GEAR COMP, STARTER CLUTCH",14400
2018,5,"578/0 LEVER,  REVERSE GEAR SHIFT",14000
2018,5,"579/0 BRACKET,  REVERSE GEAR SHIFT",11040
2018,5,589/0 SPROCKET,3600
2018,5,590/0 PAWL,196000
2018,5,591/0 PAWL GEAR SHIFT,122500
2018,5,592/0 WHEEL STARTER,3600
2018,5,593/0 GEAR STARTER CLUTCH,13680
2018,5,"595/0 LOCK WASHER BEARING HUB, 6.5T P-II",19440
2018,5,602/0 SPROCKET CAM SHAFT-4.52 THK,28710
2018,5,605/0 COVER OIL PUMP,4176
2018,5,606/0 WHEEL STARTER,24000
2018,5,607/0 WHEEL  STARTER,36000
2018,5,614/0 SEGMENT,57000
2018,5,760/0 RETAINER PLATE,4800
2018,5,762/0 PRESSURE PLATE,4800
2018,5,764/1 PRESSURE PLATE(R/G),3000
2018,5,793/0 PLATE SYNC HUB,10000
2018,5,813/2 LEVER SHIFT - 1,16500
2018,5,814/2 LEVER SHIFT - 2,81000
2018,5,816/1 PLATE SHIFT DRUM STOPPER,525000
2018,5,820/3 HOLDER CLUTCH,19800
2018,5,863/0 PLATE CLUTCH,45000
2018,5,877/0 SPROCKET CAM,49200
2018,5,880/0 STOPR COMP.GR SHIFT DRUM,130000
2018,5,881/0 SPROCKET CAM,105120
2018,5,884/1 RATCHET PLATE,190000
2018,5,890/ plate clutch with out Planish.(k1),45000
2018,5,890/0 plate clutch with Planish.(k1),150000
2018,5,893/0 STOPPER LEVER ASSY.,84000
2018,5,895/0 LEVER SHIFT 1.,55000
2018,5,896/0 JAW FINGER VERTICAL,60000
2018,5,914/0 SPROCKET  CAM,22800
2018,5,915/0 SPROCKET STARTING,240000
